Gene1,Gene2,Label
SNAI2,SPDEF,1
SNAI2,EDNRB,1
SNAI2,BMP2,1
SNAI2,GATA3,1
SNAI2,CLDN3,1
SNAI2,BMP7,1
SNAI2,SOX10,1
SNAI2,BCL2,1
SNAI2,MYOCD,1
SNAI2,CDKN2A,1
SNAI2,PROM1,1
SNAI2,ITGB3,1
SNAI2,TWIST2,1
SNAI2,ZEB2,1
SNAI2,SIX1,1
SNAI2,TPM2,1
SNAI2,ABCG2,1
DCN,FAP,1
DCN,CCDC80,1
DCN,TGFBR3,1
DCN,COMP,1
DCN,ACTA2,1
DCN,TGFB3,1
DCN,SERPINF1,1
DCN,LYVE1,1
DCN,FST,1
DCN,TLR2,1
DCN,FGF2,1
DCN,TIMP3,1
DCN,FGF7,1
DCN,CDH2,1
DCN,WNT3A,1
DCN,ADAMTS5,1
DCN,CLEC3B,1
DCN,ITGA2,1
DCN,CHST11,1
DCN,MET,1
DCN,PEG3,1
DCN,COL10A1,1
DCN,CHST15,1
DCN,THBS4,1
DCN,ERBB4,1
DCN,MFAP5,1
DCN,DPT,1
DCN,DDR2,1
DCN,FLNA,1
DCN,MMP9,1
DCN,CHST3,1
DCN,ASPN,1
DCN,OGN,1
DCN,BMP2,1
DCN,COL2A1,1
DCN,SDC1,1
DCN,CSPG5,1
DCN,TAGLN,1
DCN,EFEMP1,1
DCN,LRRC2,1
DCN,IGF2,1
DCN,SPARCL1,1
DCN,LPHN3,1
DCN,B3GAT1,1
DCN,LEPREL2,1
DCN,CHST9,1
CLDN11,PLLP,1
CLDN11,CDH2,1
CLDN11,GJA1,1
CLDN11,ITGA2,1
CLDN11,MMP9,1
CLDN11,PCDH9,1
CLDN11,CLDN3,1
CLDN11,SOX10,1
CLDN11,CLDN8,1
CLDN11,ASAM,1
CLDN11,PLP1,1
CA11,CA12,1
CA11,CA4,1
CA11,ITPR1,1
CA11,CA14,1
CTTNBP2,ASXL3,1
CTTNBP2,MET,1
CTTNBP2,SCN5A,1
CTTNBP2,FLRT2,1
CTTNBP2,MST4,1
CTTNBP2,SLMAP,1
CELSR3,PRICKLE1,1
CELSR3,SLC26A6,1
CELSR3,PCDH20,1
CELSR3,PRICKLE2,1
PYGM,PYGL,1
PYGM,CKM,1
PYGM,PPP1R3C,1
PYGM,MYOT,1
PYGM,LIPE,1
PYGM,SCGB1A1,1
PYGM,AKR1B1,1
PYGM,S100B,1
PYGM,FOSL1,1
PYGM,CALML3,1
PYGM,SLC2A4,1
PYGM,MYOZ1,1
PYGM,ACTN2,1
PYGM,ACTA1,1
PYGM,CASQ1,1
PYGM,PGM5,1
PYGM,SRL,1
PYGM,CKMT2,1
PYGM,ENO2,1
TRIP13,CENPM,1
TRIP13,MYBL2,1
TRIP13,NCAPH,1
TRIP13,NCAPG,1
TRIP13,NCAPG,1
TRIP13,TROAP,1
TRIP13,ESPL1,1
TRIP13,PKMYT1,1
TRIP13,ASF1B,1
TRIP13,CDCA5,1
TRIP13,BUB1B,1
TRIP13,CCNB2,1
TRIP13,MELK,1
TRIP13,KIAA0101,1
TRIP13,PLK1,1
TRIP13,TPX2,1
TRIP13,BIRC5,1
TRIP13,BUB1,1
TRIP13,SKA3,1
TRIP13,SPAG5,1
TRIP13,MPP2,1
TRIP13,MPP2,1
TRIP13,PLSCR4,1
TRIP13,UBE2C,1
TRIP13,RRM2,1
TRIP13,CENPF,1
TRIP13,ASPM,1
TRIP13,MKI67,1
TRIP13,TTK,1
TRIP13,CEP55,1
TRIP13,STIL,1
TRIP13,KIF2C,1
TRIP13,CDC20,1
TRIP13,CDCA8,1
TRIP13,KIF4A,1
TRIP13,CENPN,1
TRIP13,HMMR,1
TRIP13,PTTG1,1
TRIP13,PRC1,1
TRIP13,KIF20A,1
TRIP13,KIFC1,1
TRIP13,TOP2A,1
TRIP13,HJURP,1
TRIP13,GTSE1,1
TRIP13,CDCA3,1
TRIP13,TK1,1
TRIP13,UHRF1,1
TRIP13,CCNA2,1
TRIP13,REC8,1
TRIP13,NUSAP1,1
KRT14,ITGB4,1
KRT14,TGM1,1
KRT14,KRT23,1
KRT14,ACTA2,1
KRT14,KRT13,1
KRT14,FOXA1,1
KRT14,KRT5,1
KRT14,EPCAM,1
KRT14,TP63,1
KRT14,FGF7,1
KRT14,CDH2,1
KRT14,ZNF750,1
KRT14,LRIG1,1
KRT14,SCGB1A1,1
KRT14,KIT,1
KRT14,AQP5,1
KRT14,KRT16,1
KRT14,CCDC8,1
KRT14,DST,1
KRT14,KRT17,1
KRT14,CALML3,1
KRT14,SOX2,1
KRT14,PGR,1
KRT14,ALDH1A3,1
KRT14,TRIM29,1
KRT14,KRT19,1
KRT14,LGR6,1
KRT14,MKI67,1
KRT14,CLCA2,1
KRT14,GATA3,1
KRT14,KRT6A,1
KRT14,NKX3-1,1
KRT14,AMACR,1
KRT14,SERPINB5,1
KRT14,LAMB3,1
KRT14,KRT15,1
KRT14,SOX10,1
KRT14,CD207,1
KRT14,MME,1
KRT14,CDKN2A,1
KRT14,PROM1,1
KRT14,ENO2,1
KRT14,UPK1A,1
KRT14,NEFL,1
KRT14,COL17A1,1
KRT14,S100A2,1
TNS1,VCL,1
TNS1,C5orf4,1
TNS1,RBPMS,1
TNS1,TGFB1I1,1
TNS1,ITGB3,1
TNS1,KANK2,1
NGFR,TGFBR3,1
NGFR,CCK,1
NGFR,CHD5,1
NGFR,KRT13,1
NGFR,KRT5,1
NGFR,NT5E,1
NGFR,EDAR,1
NGFR,IRAK3,1
NGFR,MCAM,1
NGFR,FGF2,1
NGFR,ITGA9,1
NGFR,FGF7,1
NGFR,NTRK2,1
NGFR,UCHL1,1
NGFR,KIT,1
NGFR,S100B,1
NGFR,SOX2,1
NGFR,EFNA5,1
NGFR,CAV1,1
NGFR,ERBB4,1
NGFR,GFRA1,1
NGFR,DLK2,1
NGFR,NTRK3,1
NGFR,PDLIM1,1
NGFR,BEX1,1
NGFR,LPAR1,1
NGFR,CNTFR,1
NGFR,PDGFD,1
NGFR,KRT15,1
NGFR,SOX10,1
NGFR,BCL2,1
NGFR,IGF2,1
NGFR,NTF3,1
NGFR,FGFR2,1
NGFR,BDNF,1
NGFR,SORCS2,1
NGFR,PDGFC,1
NGFR,PROM1,1
NGFR,PIK3R1,1
NGFR,ANGPT1,1
NGFR,GFRA2,1
NGFR,PGF,1
NGFR,ITGB3,1
NGFR,TK1,1
NGFR,NTF4,1
NGFR,NCAM1,1
NGFR,PCSK6,1
NGFR,KITLG,1
NTN1,EFNB1,1
NTN1,CCL21,1
NTN1,MCAM,1
NTN1,SEMA3A,1
NTN1,SLIT3,1
NTN1,SLIT3,1
NTN1,CDH2,1
NTN1,MAP1B,1
NTN1,ADORA2B,1
NTN1,EFNA5,1
NTN1,UNC5A,1
NTN1,FLRT2,1
NTN1,UNC5B,1
NTN1,FLRT3,1
NTN1,NRP2,1
NTN1,NTRK3,1
NTN1,L1CAM,1
NTN1,BMP5,1
NTN1,SEMA5A,1
NTN1,NFATC2,1
NTN1,NTF3,1
NTN1,UNC5C,1
NTN1,BDNF,1
NTN1,ROBO2,1
NTN1,ROBO1,1
NTN1,GFRA2,1
NTN1,NCAM1,1
NTN1,SEMA3E,1
TRO,TROAP,1
TRO,ERBB4,1
CA12,CYP24A1,1
CA12,TG,1
CA12,FOXF1,1
CA12,CA4,1
CA12,KRT19,1
CA12,CA14,1
CA12,SLC16A4,1
CA12,SLC4A4,1
FAP,ACE,1
FAP,PDPN,1
FAP,CAV1,1
FAP,MFAP5,1
PCDHB2,PCDHB8,1
PCDHB2,C10orf116,1
PCDHB2,PCDHGB1,1
CEACAM6,OLFM4,1
CEACAM6,LTF,1
CEACAM6,A1BG,1
CEACAM6,EPCAM,1
CEACAM6,ITGA5,1
CEACAM6,SLPI,1
CEACAM6,LCN2,1
CEACAM6,LAMB3,1
CEACAM6,CRISP3,1
CEACAM6,MUC4,1
CEACAM6,MME,1
CEACAM6,TFF3,1
ITGB4,VCL,1
ITGB4,FERMT1,1
ITGB4,COMP,1
ITGB4,ITGB8,1
ITGB4,CAV2,1
ITGB4,KRT5,1
ITGB4,TNS4,1
ITGB4,EPCAM,1
ITGB4,FGF2,1
ITGB4,ITGA9,1
ITGB4,ITGA1,1
ITGB4,ITGB6,1
ITGB4,ITGA5,1
ITGB4,ITGA2,1
ITGB4,DST,1
ITGB4,SP5,1
ITGB4,MET,1
ITGB4,SOX2,1
ITGB4,FLNC,1
ITGB4,CAV1,1
ITGB4,THBS4,1
ITGB4,FERMT2,1
ITGB4,COL9A1,1
ITGB4,EPHA2,1
ITGB4,MYOF,1
ITGB4,CALD1,1
ITGB4,FLNA,1
ITGB4,CLCA2,1
ITGB4,MMP9,1
ITGB4,COL9A2,1
ITGB4,ITGA8,1
ITGB4,COL2A1,1
ITGB4,SDC1,1
ITGB4,LAMB3,1
ITGB4,KRT15,1
ITGB4,COL4A6,1
ITGB4,PRKCA,1
ITGB4,FAT3,1
ITGB4,ITGB3,1
ITGB4,ITGAX,1
ITGB4,PRKCB,1
ITGB4,COL17A1,1
ITGB4,SLMAP,1
TRIP6,EFNB1,1
TRIP6,VCL,1
TRIP6,CCK,1
TRIP6,JUB,1
TRIP6,FAM46A,1
TRIP6,PHYHIP,1
TRIP6,PDLIM7,1
TRIP6,SVIL,1
TRIP6,CDKL1,1
NTN4,DNAJB4,1
NTN4,DNAJB5,1
EFNB1,CHD5,1
EFNB1,TWIST1,1
EFNB1,SEMA3A,1
EFNB1,CDH2,1
EFNB1,NTRK2,1
EFNB1,EFNA5,1
EFNB1,UNC5A,1
EFNB1,EPHA2,1
EFNB1,NLGN3,1
EFNB1,NRP2,1
EFNB1,PAK3,1
EFNB1,MMP9,1
EFNB1,EPHA10,1
EFNB1,SEMA5A,1
EFNB1,EPHB1,1
EFNB1,KSR1,1
EFNB1,NRXN1,1
EFNB1,NLGN1,1
EFNB1,FGFR2,1
EFNB1,BDNF,1
EFNB1,NCAM1,1
EFNB1,EPHA5,1
ABCC6,NT5E,1
ABCC6,TMEFF2,1
ABCC6,ABCC3,1
ABCC6,PLAG1,1
ABCC6,MYH11,1
ABCC6,ABCG2,1
CCDC80,CHI3L1,1
CCDC80,NTRK2,1
CCDC80,MFAP5,1
CCDC80,ASPN,1
CCDC80,OGN,1
CCDC80,ITGBL1,1
CCDC80,SRPX,1
CCDC80,SDC1,1
CCDC80,RBMS3,1
CCDC80,EFEMP1,1
TGM1,KRT13,1
TGM1,KRT5,1
TGM1,CSTA,1
TGM1,CYP4F22,1
TGM1,DSC3,1
TGM1,DSC3,1
TGM1,HOXB13,1
TGM1,KRT16,1
TGM1,CXCL11,1
TGM1,KRT17,1
TGM1,GLIS1,1
TGM1,NIPAL4,1
TGM1,DYNC1I1,1
TGM1,SPINK5,1
TGM1,KRT6A,1
TGM1,KRT4,1
KRT23,KRT13,1
KRT23,KRT16,1
KRT23,KRT17,1
KRT23,KRT19,1
KRT23,S100A8,1
KRT23,KRT15,1
FMO2,ADH1B,1
FMO2,CYP4B1,1
FMO2,CDCA8,1
RAB26,CASKIN1,1
RAB26,ADRA2B,1
VCL,FERMT1,1
VCL,ITGB8,1
VCL,ACTA2,1
VCL,RRAS,1
VCL,TUBA4A,1
VCL,HSPB1,1
VCL,CNN1,1
VCL,TNS4,1
VCL,ABCC9,1
VCL,CORO2B,1
VCL,CFD,1
VCL,FGF2,1
VCL,PIP5K1B,1
VCL,CDH2,1
VCL,RHOB,1
VCL,MYL9,1
VCL,GJA1,1
VCL,ITGA1,1
VCL,ITGB6,1
VCL,ACTC1,1
VCL,ITGA5,1
VCL,ITGA2,1
VCL,MAP1B,1
VCL,CFL2,1
VCL,CTNND2,1
VCL,DST,1
VCL,TCAP,1
VCL,CALML3,1
VCL,EZH2,1
VCL,TUBB3,1
VCL,LIMS2,1
VCL,FLNC,1
VCL,SCN5A,1
VCL,SELE,1
VCL,NEXN,1
VCL,GEFT,1
VCL,SYNM,1
VCL,CAV1,1
VCL,FERMT2,1
VCL,PDLIM7,1
VCL,SVIL,1
VCL,ANK2,1
VCL,TPM1,1
VCL,MYOF,1
VCL,MYLK,1
VCL,CALD1,1
VCL,DMD,1
VCL,ACTN2,1
VCL,ACTA1,1
VCL,LMOD1,1
VCL,FLNA,1
VCL,SORBS1,1
VCL,PDLIM1,1
VCL,MMP9,1
VCL,DES,1
VCL,LAYN,1
VCL,TUBB2A,1
VCL,TAGLN,1
VCL,TGFB1I1,1
VCL,MYH11,1
VCL,BCL2,1
VCL,KSR1,1
VCL,MYH6,1
VCL,ACTG2,1
VCL,DIXDC1,1
VCL,LDB3,1
VCL,PRKCA,1
VCL,PALLD,1
VCL,PIK3R1,1
VCL,ITGB3,1
VCL,KANK2,1
VCL,DTNA,1
VCL,PDLIM5,1
VCL,LPP,1
VCL,BCL11A,1
VCL,TPM2,1
TGFBR3,TGFB3,1
TGFBR3,FGF2,1
TGFBR3,ITGA9,1
TGFBR3,RSPO3,1
TGFBR3,BMP2,1
TGFBR3,GMDS,1
TGFBR3,BMP7,1
TGFBR3,FGFR2,1
TGFBR3,KCNAB1,1
MMP11,MYBL2,1
MMP11,TIMP3,1
MMP11,MMP10,1
MMP11,TIMP4,1
MMP11,DEFB1,1
MMP11,COL10A1,1
MMP11,SSTR2,1
MMP11,MUC4,1
MMP11,ST5,1
TCN2,LTF,1
TCN2,BHMT2,1
TCN2,FOLH1,1
TCN2,FOLR1,1
TCN2,SLC19A1,1
TCN2,LCN2,1
TCN2,CBS,1
TCN2,FUT2,1
TCN2,LPHN3,1
CENPM,MYBL2,1
CENPM,NCAPH,1
CENPM,HIST4H4,1
CENPM,HIST4H4,1
CENPM,HIST4H4,1
CENPM,NCAPG,1
CENPM,NCAPG,1
CENPM,TROAP,1
CENPM,ESPL1,1
CENPM,PKMYT1,1
CENPM,ASF1B,1
CENPM,CDCA5,1
CENPM,MLF1IP,1
CENPM,BUB1B,1
CENPM,CCNB2,1
CENPM,MELK,1
CENPM,KIAA0101,1
CENPM,PLK1,1
CENPM,TPX2,1
CENPM,BIRC5,1
CENPM,BUB1,1
CENPM,SKA3,1
CENPM,SPAG5,1
CENPM,MPP2,1
CENPM,MPP2,1
CENPM,UBE2C,1
CENPM,RRM2,1
CENPM,C16orf59,1
CENPM,CENPF,1
CENPM,ASPM,1
CENPM,MKI67,1
CENPM,TTK,1
CENPM,CEP55,1
CENPM,KIF2C,1
CENPM,CDC20,1
CENPM,CDCA8,1
CENPM,KIF4A,1
CENPM,CENPN,1
CENPM,HMMR,1
CENPM,PTTG1,1
CENPM,PRC1,1
CENPM,KIF20A,1
CENPM,KIFC1,1
CENPM,TOP2A,1
CENPM,HJURP,1
CENPM,GTSE1,1
CENPM,CDCA3,1
CENPM,TK1,1
CENPM,UHRF1,1
CENPM,CCNA2,1
CENPM,NUSAP1,1
APOBEC3D,COX7A1,1
APOBEC3D,APOBEC3F,1
APOBEC3D,ELAVL2,1
BIK,CCK,1
BIK,BUB1B,1
BIK,BIRC5,1
BIK,BUB1,1
BIK,DDIT4,1
BIK,BNIPL,1
BIK,BCL2,1
CERK,LASS1,1
CERK,TNFRSF10D,1
CERK,CALML3,1
CERK,S1PR5,1
CERK,PLA2G4A,1
CERK,SMPDL3B,1
CERK,SPTLC3,1
PYGL,PPP1R3C,1
PYGL,LIPE,1
PYGL,AKR1B1,1
PYGL,S100B,1
PYGL,FASN,1
PYGL,CALML3,1
PYGL,SLC2A4,1
PYGL,AGMAT,1
PYGL,PGM5,1
PYGL,NTF3,1
PYGL,ENO2,1
BDKRB2,CHD5,1
BDKRB2,GNG11,1
BDKRB2,F12,1
BDKRB2,GNAO1,1
BDKRB2,KLK3,1
BDKRB2,GAL,1
BDKRB2,SSTR1,1
BDKRB2,PROK1,1
BDKRB2,ADRA2A,1
BDKRB2,ACE,1
BDKRB2,NMUR1,1
BDKRB2,GPR37,1
BDKRB2,P2RY2,1
BDKRB2,KLK2,1
BDKRB2,EDNRA,1
BDKRB2,CXCR2,1
BDKRB2,TRPM8,1
BDKRB2,KLK4,1
BDKRB2,GEFT,1
BDKRB2,EDN3,1
BDKRB2,SSTR2,1
BDKRB2,ADRB1,1
BDKRB2,PPYR1,1
BDKRB2,LPAR1,1
BDKRB2,EDNRB,1
BDKRB2,APLN,1
BDKRB2,PENK,1
BDKRB2,GPRASP1,1
EFS,BCL2,1
CYP24A1,ALDH1A2,1
CYP24A1,TLR2,1
CYP24A1,BCHE,1
CYP24A1,CA3,1
CYP24A1,CA4,1
CYP24A1,SEC23A,1
CYP24A1,SPINK5,1
CYP24A1,CA14,1
CYP24A1,SLC34A2,1
MYBL2,NCAPH,1
MYBL2,HIST4H4,1
MYBL2,HIST4H4,1
MYBL2,HIST4H4,1
MYBL2,NCAPG,1
MYBL2,NCAPG,1
MYBL2,MSI1,1
MYBL2,TROAP,1
MYBL2,ESPL1,1
MYBL2,CCND2,1
MYBL2,PKMYT1,1
MYBL2,ASF1B,1
MYBL2,CDCA5,1
MYBL2,BUB1B,1
MYBL2,CCNB2,1
MYBL2,MELK,1
MYBL2,PLK1,1
MYBL2,TPX2,1
MYBL2,BIRC5,1
MYBL2,BUB1,1
MYBL2,SKA3,1
MYBL2,EZH2,1
MYBL2,SPAG5,1
MYBL2,SOX2,1
MYBL2,PGR,1
MYBL2,MPP2,1
MYBL2,MPP2,1
MYBL2,UBE2C,1
MYBL2,RRM2,1
MYBL2,CENPF,1
MYBL2,ASPM,1
MYBL2,PTGS2,1
MYBL2,MKI67,1
MYBL2,TTK,1
MYBL2,FLNA,1
MYBL2,CEP55,1
MYBL2,KIF2C,1
MYBL2,CDC20,1
MYBL2,CDCA8,1
MYBL2,KIF4A,1
MYBL2,HMMR,1
MYBL2,PTTG1,1
MYBL2,PRC1,1
MYBL2,KIF20A,1
MYBL2,BCL2,1
MYBL2,RARG,1
MYBL2,KIFC1,1
MYBL2,E2F5,1
MYBL2,TOP2A,1
MYBL2,HJURP,1
MYBL2,GTSE1,1
MYBL2,CDKN2A,1
MYBL2,CDCA3,1
MYBL2,TK1,1
MYBL2,UHRF1,1
MYBL2,CCNA2,1
MYBL2,NUSAP1,1
FERMT1,ITGB8,1
FERMT1,ITGB6,1
FERMT1,WNT3A,1
FERMT1,FLNC,1
FERMT1,FERMT2,1
FERMT1,FLNA,1
FERMT1,SERPINB5,1
FERMT1,LAMB3,1
FERMT1,ITGB3,1
FERMT1,COL17A1,1
OLFM4,LTF,1
OLFM4,MSI1,1
OLFM4,LRIG1,1
OLFM4,WNT3A,1
OLFM4,KRT7,1
OLFM4,ASCL2,1
OLFM4,RBPMS,1
OLFM4,LCN2,1
OLFM4,ASPN,1
OLFM4,CRISP3,1
OLFM4,PROM1,1
OLFM4,TFF3,1
OLFM4,MEX3A,1
OLFM4,CD177,1
OLFM4,FCGBP,1
PLLP,KIT,1
PLLP,MAL,1
PLLP,PLP1,1
TOX3,FOXA1,1
TOX3,MEIS1,1
TOX3,SMOC1,1
TOX3,GLI3,1
TOX3,FGFR2,1
RASL12,FHL2,1
RASL12,RASL10B,1
TG,KRT5,1
TG,LGALS3,1
TG,FST,1
TG,EPCAM,1
TG,DUOXA1,1
TG,CA3,1
TG,PIP,1
TG,FOXI1,1
TG,DUOX1,1
TG,DUOXA2,1
TG,KRT7,1
TG,KRT19,1
TG,CA14,1
TG,DUOX2,1
TG,NRXN1,1
TG,MME,1
TG,ENO2,1
TG,NCAM1,1
TG,SLMAP,1
CCK,TLR2,1
CCK,KIT,1
CCK,TLR3,1
CCK,ATF3,1
CCK,CD40,1
CKM,TNNC1,1
CKM,MYOT,1
CKM,SGCA,1
CKM,PPARGC1A,1
CKM,CA3,1
CKM,ACTC1,1
CKM,TCAP,1
CKM,MYOZ1,1
CKM,ACTN2,1
CKM,ACTA1,1
CKM,CASQ1,1
CKM,ITGB1BP2,1
CKM,GATM,1
CKM,MYH6,1
CKM,FHL2,1
CKM,MYBPC1,1
CKM,CKMT2,1
CKM,MYH3,1
CKM,APOC1,1
COMP,ITGB8,1
COMP,TGFB3,1
COMP,LGALS3,1
COMP,PABPC1L,1
COMP,CHI3L1,1
COMP,CD36,1
COMP,ITGA9,1
COMP,ITGA1,1
COMP,ITGB6,1
COMP,ADAMTS5,1
COMP,ITGA5,1
COMP,ITGA2,1
COMP,COL10A1,1
COMP,THBS4,1
COMP,COL9A1,1
COMP,OTX1,1
COMP,MMP9,1
COMP,COL9A2,1
COMP,PABPC1L2B,1
COMP,PABPC1L2B,1
COMP,ASPN,1
COMP,ITGBL1,1
COMP,ITGA8,1
COMP,BMP2,1
COMP,COL2A1,1
COMP,SDC1,1
COMP,TAGLN,1
COMP,SFRP4,1
COMP,ANGPT1,1
COMP,ITGB3,1
COMP,PABPC4L,1
ITGB8,CAV2,1
ITGB8,TGFB3,1
ITGB8,ITGA9,1
ITGB8,ITGA1,1
ITGB8,ITGB6,1
ITGB8,MMP16,1
ITGB8,ITGA5,1
ITGB8,ITGA2,1
ITGB8,FLNC,1
ITGB8,CAV1,1
ITGB8,THBS4,1
ITGB8,FERMT2,1
ITGB8,P2RX2,1
ITGB8,COL9A1,1
ITGB8,FLNA,1
ITGB8,COL9A2,1
ITGB8,ITGA8,1
ITGB8,COL2A1,1
ITGB8,SDC1,1
ITGB8,SEMA5A,1
ITGB8,LAMB3,1
ITGB8,COL4A6,1
ITGB8,CD207,1
ITGB8,PRKCA,1
ITGB8,ITGB3,1
ITGB8,ITGAX,1
ITGB8,PLP1,1
ITGB8,PRKCB,1
MPP6,EPB41L3,1
MPP6,CAMK1D,1
CAV2,KRT5,1
CAV2,SNAP25,1
CAV2,EHD2,1
CAV2,GJA1,1
CAV2,ITGB6,1
CAV2,KCNMA1,1
CAV2,CACNA1D,1
CAV2,SDPR,1
CAV2,TBX5,1
CAV2,CALML3,1
CAV2,MET,1
CAV2,SCN5A,1
CAV2,CAV1,1
CAV2,ANXA2,1
CAV2,CACNA2D1,1
CAV2,PTRF,1
CAV2,KRT19,1
CAV2,S100A6,1
CAV2,JPH2,1
CAV2,PRKG1,1
CAV2,GMDS,1
CAV2,ITGB3,1
CAV2,SIX1,1
LFNG,FOXQ1,1
LFNG,MESP1,1
LFNG,DKK1,1
LFNG,ID1,1
LFNG,B3GNT9,1
CYP3A5,GSTM2,1
CYP3A5,PTGIS,1
CYP3A5,ALDH1A2,1
CYP3A5,GSTM5,1
CYP3A5,KCNMB1,1
CYP3A5,ABCC3,1
CYP3A5,ADH1B,1
CYP3A5,GSTM1,1
CYP3A5,ALDH1A3,1
CYP3A5,GSTA1,1
CYP3A5,GSTM3,1
CYP3A5,ATP1B1,1
CYP3A5,GSTM4,1
CYP3A5,CYP2J2,1
CYP3A5,CYP4B1,1
CYP3A5,AOX1,1
CYP3A5,GSTP1,1
CYP3A5,ZNF185,1
CYP3A5,CYP4F12,1
CYP3A5,ABCG2,1
CDH23,KCNQ4,1
CDH23,CDH2,1
CDH23,ATP2B4,1
CDH23,CLIC6,1
CDH23,GJB3,1
CDH23,GPR98,1
CDH23,TMPRSS4,1
CDH23,EYA4,1
CDH23,CDH22,1
CDH23,EPHA5,1
ACTA2,CAP2,1
ACTA2,TGFB3,1
ACTA2,TWIST1,1
ACTA2,KRT5,1
ACTA2,CNN1,1
ACTA2,LGALS3,1
ACTA2,CASQ2,1
ACTA2,EPCAM,1
ACTA2,CDH2,1
ACTA2,KCNMB1,1
ACTA2,SCGB1A1,1
ACTA2,MYL9,1
ACTA2,ITGA1,1
ACTA2,CCNB2,1
ACTA2,ACTC1,1
ACTA2,CFL2,1
ACTA2,EFEMP2,1
ACTA2,TUBB3,1
ACTA2,SELE,1
ACTA2,TPM1,1
ACTA2,MFAP5,1
ACTA2,MYLK,1
ACTA2,CALD1,1
ACTA2,KRT19,1
ACTA2,ACTN2,1
ACTA2,ACTA1,1
ACTA2,LMOD1,1
ACTA2,CSRP1,1
ACTA2,MKI67,1
ACTA2,S100A8,1
ACTA2,S100A9,1
ACTA2,FLNA,1
ACTA2,SORBS1,1
ACTA2,MMP9,1
ACTA2,LCN2,1
ACTA2,PRKG1,1
ACTA2,ASPN,1
ACTA2,ITGBL1,1
ACTA2,KLF5,1
ACTA2,ITGA8,1
ACTA2,PCYT1B,1
ACTA2,IL33,1
ACTA2,TAGLN,1
ACTA2,MYH11,1
ACTA2,MYH6,1
ACTA2,ACTG2,1
ACTA2,MYOCD,1
ACTA2,MAMLD1,1
ACTA2,SMTN,1
ACTA2,ZEB2,1
ACTA2,TPM2,1
ACTA2,PI16,1
ST6GALNAC2,ST6GALNAC4,1
ST6GALNAC2,MUC6,1
ST6GALNAC2,GCNT1,1
ST6GALNAC2,MUC4,1
ST6GALNAC2,MUC15,1
P2RX5,P2RX1,1
P2RX5,PRDM16,1
P2RX5,ENTPD3,1
P2RX5,P2RY2,1
P2RX5,P2RY11,1
P2RX5,P2RX2,1
P2RX1,NT5E,1
P2RX1,NTRK2,1
P2RX1,ENTPD3,1
P2RX1,P2RY2,1
P2RX1,P2RY11,1
P2RX1,P2RX2,1
HLF,TCF7L1,1
HLF,BATF,1
HLF,MET,1
HLF,ANXA8,1
CD38,RARRES1,1
CD38,FOLH1,1
CD38,NT5E,1
CD38,CCL21,1
CD38,CD36,1
CD38,EPCAM,1
CD38,PRKG2,1
CD38,SLC7A11,1
CD38,UCHL1,1
CD38,CXCL13,1
CD38,KIT,1
CD38,MGC29506,1
CD38,CXCL10,1
CD38,CXCL10,1
CD38,CXCL11,1
